id,japanese_content,english_content,kanji_references,vocab_references,reading,romaji
d001,はじめまして。田中です。どうぞよろしく。,Nice to meet you. I'm Tanaka. Please treat me well.,,, はじめまして。たなかです。どうぞよろしく。,Hajimemashite. Tanaka desu. Douzo yoroshiku.
d002,はじめまして。スミスです。こちらこそよろしくお願いします。,Nice to meet you too. I'm Smith. Likewise please treat me well.,,,はじめまして。スミスです。こちらこそよろしくおねがいします。,Hajimemashite. Sumisu desu. Kochira koso yoroshiku onegaishimasu.
d003,お名前は何ですか。,What is your name?,,, おなまえはなんですか。,Onamae wa nan desu ka.
d004,私はケンと申します。どちらからいらっしゃいましたか。,My name is Ken. Where did you come from?,,,わたしはケンともうします。どちらからいらっしゃいましたか。,Watashi wa Ken to moushimasu. Dochira kara irasshaimashita ka.
d005,アメリカから来ました。日本語を勉強しています。,I came from America. I am studying Japanese.,,,アメリカからきました。にほんごをべんきょうしています。,Amerika kara kimashita. Nihongo wo benkyou shite imasu.
d006,日本語がお上手ですね。,Your Japanese is very good.,,,にほんごがおじょうずですね。,Nihongo ga ojouzu desu ne.
d007,いいえ、まだまだです。,No, I still have a long way to go.,,,いいえ、まだまだです。,Iie, mada mada desu.
d008,すみません、駅はどこですか。,Excuse me, where is the station?,,,すみません、えきはどこですか。,Sumimasen, eki wa doko desu ka.
d009,あの角を右に曲がると、すぐ見えます。,Turn right at that corner and you will see it right away.,,,あのかどをみぎにまがると、すぐみえます。,Ano kado wo migi ni magaru to, sugu miemasu.
d010,ありがとうございます。歩いて何分くらいかかりますか。,Thank you very much. About how many minutes does it take on foot?,,,ありがとうございます。あるいてなんぷんくらいかかりますか。,Arigatou gozaimasu. Aruite nan-pun kurai kakarimasu ka.
d011,だいたい五分くらいです。,It's about five minutes.,,,だいたいごふんくらいです。,Daitai go-fun kurai desu.
d012,いらっしゃいませ。何名様ですか。,Welcome. How many in your party?,,,いらっしゃいませ。なんめいさまですか。,Irasshaimase. Nan-mei-sama desu ka.
d013,二人です。禁煙席をお願いします。,Two people. Non-smoking please.,,,ふたりです。きんえんせきをおねがいします。,Futari desu. Kin'en-seki wo onegaishimasu.
d014,ご注文はお決まりですか。,Have you decided on your order?,,,ごちゅうもんはおきまりですか。,Go-chuumon wa okimari desu ka.
d015,ラーメンをひとつと餃子をふたつください。,One ramen and two gyoza please.,,,ラーメンをひとつとぎょうざをふたつください。,Raamen wo hitotsu to gyouza wo futatsu kudasai.
d016,少々お待ちください。,Please wait a moment.,,,しょうしょうおまちください。,Shoushou omachi kudasai.
d017,お会計をお願いします。,Check please.,,,おかいけいをおねがいします。,Okaikei wo onegaishimasu.
