id,kanji,kanji_radicals,romaji,pitch_accent,hiragana,example_references,alternate_reading,meaning,theme,radical_references,jlpt_level,unlocked_at_grammar_id
n001,水,,mizu,LH,みず,,,water,nature,,N5,
n002,山,,yama,LH,やま,,,mountain,nature,,N5,
n003,川,,kawa,LHL,かわ,,,river,nature,,N5,
n004,海,,umi,LH,うみ,,,sea / ocean,nature,,N5,
n005,空,,sora,LH,そら,,,sky,nature,,N5,
n006,木,,ki,H,き,,,tree / wood,nature,,N5,
n007,花,,hana,LH,はな,,,flower,nature,,N5,
n008,雨,,ame,LH,あめ,,,rain,nature,,N5,
n009,雪,,yuki,LH,ゆき,,,snow,nature,,N5,
n010,風,,kaze,LH,かぜ,,,wind,nature,,N5,
n011,火,,hi,H,ひ,,,fire,nature,,N5,
n012,石,,ishi,LHL,いし,,,stone / rock,nature,,N5,
n013,土,,tsuchi,LHL,つち,,,earth / soil,nature,,N5,
n014,月,,tsuki,LH,つき,,,moon / month,nature/time,,N5,
n015,星,,hoshi,LHL,ほし,,,star,nature,,N5,
n016,人,,hito,LH,ひと,,,person / people,people,,N5,
n017,男,,otoko,LHL,おとこ,,,man / male,people,,N5,
n018,女,,onna,LHL,おんな,,,woman / female,people,,N5,
n019,子ども,,kodomo,LHLL,こども,,,child,people,,N5,
n020,友だち,,tomodachi,LHLL,ともだち,,,friend,people,,N5,
n021,先生,,sensei,LHHL,せんせい,,,teacher,people,,N5,
n022,学生,,gakusei,LHHL,がくせい,,,student,people,,N5,
n023,家族,,kazoku,LHLL,かぞく,,,family,people,,N5,
n024,父,,chichi,LHL,ちち,,,father (own),people,,,N5,
n025,母,,haha,LHL,はは,,,mother (own),people,,N5,
n026,兄,,ani,LHL,あに,,,older brother (own),people,,N5,
n027,姉,,ane,LHL,あね,,,older sister (own),people,,N5,
n028,弟,,otouto,LHLL,おとうと,,,younger brother,people,,N5,
n029,妹,,imouto,LHLL,いもうと,,,younger sister,people,,N5,
n030,日本,,nihon,LHLL,にほん,,,Japan,place,,N5,
n031,学校,,gakkou,LHLL,がっこう,,,school,place,,N5,
n032,病院,,byouin,LHHL,びょういん,,,hospital,place,,N4,
n033,駅,,eki,LH,えき,,,station,place,,N5,
n034,店,,mise,LH,みせ,,,shop / store,place,,N5,
n035,会社,,kaisha,LHLL,かいしゃ,,,company / office,place,,N5,
n036,家,,ie,LH,いえ,,,house / home,place,,,N5,
n037,部屋,,heya,LHL,へや,,,room,place,,N5,
n038,図書館,,toshokan,LHHLL,としょかん,,,library,place,,N4,
n039,映画館,,eigakan,LHHLL,えいがかん,,,movie theater,place,,N4,
n040,公園,,kouen,LHHL,こうえん,,,park,place,,N5,
n041,空港,,kuukou,LHHL,くうこう,,,airport,place,,N4,
n042,銀行,,ginkou,LHHL,ぎんこう,,,bank,place,,N4,
n043,郵便局,,yuubinkyoku,LHHHHLL,ゆうびんきょく,,,post office,place,,N4,
n044,レストラン,,resutoran,LHHLL,レストラン,,,restaurant,place,,N5,
n045,トイレ,,toire,LHLL,トイレ,,,toilet / restroom,place,,N5,
n046,電車,,densha,LHLL,でんしゃ,,,electric train,transport,,N5,
n047,バス,,basu,LH,バス,,,bus,transport,,N5,
n048,飛行機,,hikouki,LHHLL,ひこうき,,,airplane,transport,,N5,
n049,車,,kuruma,LHLL,くるま,,,car,transport,,N5,
n050,自転車,,jitensha,LHHLL,じてんしゃ,,,bicycle,transport,,N5,
n051,タクシー,,takushii,LHHLL,タクシー,,,taxi,transport,,N4,
n052,船,,fune,LH,ふね,,,ship / boat,transport,,N4,
n053,道,,michi,LHL,みち,,,road / path,place,,N5,
n054,橋,,hashi,LHL,はし,,,bridge,place,,N4,
n055,食べ物,,tabemono,LHHLL,たべもの,,,food,food,,N5,
n056,飲み物,,nomimono,LHHLL,のみもの,,,drink / beverage,food,,N5,
n057,ご飯,,gohan,LHL,ごはん,,,rice / meal,food,,N5,
n058,パン,,pan,H,パン,,,bread,food,,N5,
n059,肉,,niku,LH,にく,,,meat,food,,N5,
n060,野菜,,yasai,LHLL,やさい,,,vegetable,food,,N5,
n061,魚,,sakana,LHLL,さかな,,,fish,food,,N5,
n062,果物,,kudamono,LHHLL,くだもの,,,fruit,food,,N5,
n063,卵,,tamago,LHLL,たまご,,,egg,food,,N5,
n064,牛乳,,gyuunyuu,LHHL,ぎゅうにゅう,,,milk,food,,N5,
n065,コーヒー,,koohii,LHLL,コーヒー,,,coffee,food,,N5,
n066,お茶,,ocha,LHL,おちゃ,,,tea,food,,N5,
n067,お酒,,osake,LHLL,おさけ,,,alcohol / sake,food,,N5,
n068,ケーキ,,keeki,LHLL,ケーキ,,,cake,food,,N4,
n069,お金,,okane,LHLL,おかね,,,money,object,,N5,
n070,時間,,jikan,LHLL,じかん,,,time,time,,N5,
n071,天気,,tenki,LHL,てんき,,,weather,nature,,N5,
n072,季節,,kisetsu,LHLL,きせつ,,,season,nature,,N5,
n073,春,,haru,LH,はる,,,spring,nature,,N5,
n074,夏,,natsu,LH,なつ,,,summer,nature,,N5,
n075,秋,,aki,LH,あき,,,autumn / fall,nature,,N5,
n076,冬,,fuyu,LH,ふゆ,,,winter,nature,,N5,
