id,phrase,reading,meaning,vocabulary_references,kanji_references,jlpt_level,category,romaji,grammar_references
p001,おはようございます。,おはようございます。,Good morning.,,,,greetings,Ohayou gozaimasu.,
p002,こんにちは。,こんにちは。,Hello. / Good afternoon.,,,,greetings,Konnichiwa.,
p003,こんばんは。,こんばんは。,Good evening.,,,,greetings,Konbanwa.,
p004,おやすみなさい。,おやすみなさい。,Good night.,,,,greetings,Oyasumi nasai.,
p005,さようなら。,さようなら。,Goodbye.,,,,greetings,Sayounara.,
p006,またね。,またね。,See you later. / Bye.,,,N5,greetings,Mata ne.,
p007,じゃあ、またね。,じゃあ、またね。,Well then, see you.,,,N5,greetings,Jaa mata ne.,
p008,はじめまして。,はじめまして。,Nice to meet you (first time).,,,,greetings,Hajimemashite.,
p009,どうぞよろしくおねがいします。,どうぞよろしくおねがいします。,Please treat me well. / Nice to meet you.,,,,greetings,Douzo yoroshiku onegaishimasu.,
p010,ありがとうございます。,ありがとうございます。,Thank you very much.,,,,expressions,Arigatou gozaimasu.,
p011,ありがとう。,ありがとう。,Thank you.,,,N5,expressions,Arigatou.,
p012,どういたしまして。,どういたしまして。,You're welcome.,,,,expressions,Dou itashimashite.,
p013,すみません。,すみません。,Excuse me. / I'm sorry.,,,,expressions,Sumimasen.,
p014,ごめんなさい。,ごめんなさい。,I'm sorry.,,,N5,expressions,Gomen nasai.,
p015,はい。,はい。,Yes.,,,,expressions,Hai.,
p016,いいえ。,いいえ。,No.,,,,expressions,Iie.,
p017,わかりました。,わかりました。,I understand. / Got it.,,,,expressions,Wakarimashita.,
p018,わかりません。,わかりません。,I don't understand.,,,,expressions,Wakarimasen.,
p019,もう一度言ってください。,もういちどいってください。,Please say it one more time.,,,,classroom,Mou ichido itte kudasai.,
p020,ゆっくり話してください。,ゆっくりはなしてください。,Please speak slowly.,,,,classroom,Yukkuri hanashite kudasai.,
p021,日本語で何と言いますか。,にほんごでなんといいますか。,How do you say it in Japanese?,,,,classroom,Nihongo de nan to iimasu ka.,
p022,英語で何と言いますか。,えいごでなんといいますか。,How do you say it in English?,,,,classroom,Eigo de nan to iimasu ka.,
p023,これは何ですか。,これはなんですか。,What is this?,,,,questions,Kore wa nan desu ka.,
p024,それはいくらですか。,それはいくらですか。,How much is that?,,,,shopping,Sore wa ikura desu ka.,
p025,これをください。,これをください。,Please give me this one.,,,,shopping,Kore wo kudasai.,
p026,少し安くなりますか。,すこしやすくなりますか。,Can you make it a little cheaper?,,,,shopping,Sukoshi yasuku narimasu ka.,
p027,クレジットカードで払えますか。,クレジットカードではらえますか。,Can I pay by credit card?,,,,shopping,Kurejitto kaado de haraemasu ka.,
p028,レシートをください。,レシートをください。,Please give me a receipt.,,,,shopping,Reshiito wo kudasai.,
p029,袋に入れてください。,ふくろにいれてください。,Please put it in a bag.,,,,shopping,Fukuro ni irete kudasai.,
p030,試着してもいいですか。,しちゃくしてもいいですか。,May I try it on?,,,,shopping,Shichaku shite mo ii desu ka.,
p031,駅はどこですか。,えきはどこですか。,Where is the station?,,,,directions,Eki wa doko desu ka.,
p032,右に曲がってください。,みぎにまがってください。,Please turn right.,,,,directions,Migi ni magatte kudasai.,
p033,左に曲がってください。,ひだりにまがってください。,Please turn left.,,,,directions,Hidari ni magatte kudasai.,
p034,まっすぐ行ってください。,まっすぐいってください。,Please go straight.,,,,directions,Massugu itte kudasai.,
p035,ここから遠いですか。,ここからとおいですか。,Is it far from here?,,,,directions,Koko kara tooi desu ka.,
